Audio,English,Persian G Translate,Persian Bamooz,English Alternatives,German,German Alternatives,Level,Part of Speech,Picture,Plural and inflected forms,Sample sentence,Thing
{{7009 0 0.mp3}},difference,تفاوت,تفاوت، اختلاف / تفریق (ریاضی),,die Differenz,,120,noun,{{7009 7 0.jpg}},die Differenzen,Die Differenz zwischen Umsatz und Kosten ist der Gewinn.,24587977
{{7010 0 0.mp3}},technical,فنی,فنی، مرتبط با تکنولوژی,,technisch,,29,adj,{{7010 7 0.jpg}},,Das ist ein technisches Problem.,24020296
{{7011 0 0.mp3}},"1) by the name of, called; 2) in the name of",1) به نام، به نام. 2) به نام,از سوی، از طرف / به اسم، به نام,,namens,,158,1) adv; 2) prep,{{7011 7 0.jpg}},,1) Er wohnte in einem kleinen Dorf namens Dingolfing. 2) Er gratulierte namens der ganzen Belegschaft.,24622182
{{7012 0 0.mp3}},"PC, computer",کامپیوتر، کامپیوتر,رایانه شخصی، کامپیوتر شخصی,the PC,der PC,PC,85,noun,{{7012 7 0.jpg}},die PCs,"Meine Augen sind ganz schlecht geworden, weil ich so viel am PC arbeite.",24519208
{{7013 0 0.mp3}},artificial,ساختگی,مصنوعی,,künstlich,,86,adj,{{7013 7 0.jpg}},,Ich werde mir demnächst eine künstliche Hüfte einsetzen lassen.,24519403
{{7014 0 0.mp3}},to confront,برای مقابله با,(مواجه کردن (با، روبرو کردن (با),,konfrontieren,,140,verb,{{7014 7 0.jpg}},konfrontiert; konfrontierte; hat konfrontiert,Die Eltern wollten ihn nie mit der Realität konfrontieren.,24613761
{{7015 0 0.mp3}},piano,پیانو,پیانو,the piano,das Klavier,Klavier,118,noun,{{7015 7 0.jpg}},die Klaviere,Im Saal steht ein Klavier.,24586840
{{7016 0 0.mp3}},formula,فرمول,فرمول,the formula,die Formel,Formel,77,noun,{{7016 7 0.jpg}},die Formeln,Welche chemische Formel hat Wasser?,24507110
{{7017 0 0.mp3}},local,محلی,محلی، مکانی,,örtlich,,141,adj,{{7017 7 0.jpg}},,Bei dieser Operation werden Sie nur örtlich betäubt.,24614024
{{7018 0 0.mp3}},times,بار,دفعه، بار / ضربدر / [نشانه دوستانه]، [برای نشان دادن دوستانه بودن جمله],,mal,,4,conj,{{7018 7 0.jpg}},,Drei mal drei ist neun.,23501698
{{7019 0 0.mp3}},"to get, receive",برای به دست آوردن، دریافت,دریافت کردن، گرفتن / خریدن، گرفتن / آسیب دیدن، (ضربه) خوردن / شدن، دچار چیزی شدن / (دیدار) داشتن / وادار کردن,,bekommen,,12,verb,{{7019 7 0.jpg}},bekommt; bekam; hat bekommen,Wir bekommen selten Post.,23642307
{{7020 0 0.mp3}},antibiotic,آنتی بیوتیک,آنتی‌بیوتیک، پادزیست,,das Antibiotikum,,149,noun,{{7020 7 0.jpg}},die Antibiotika,Sie muss Antibiotika gegen ihre Bronchitis nehmen.,24619634
{{7021 0 0.mp3}},"stimulus, idea",محرک، ایده,پیشنهاد، الهام، انگیزه,,die Anregung,,143,noun,{{7021 7 0.jpg}},die Anregungen,In diesem Heft finden Sie viele Anregungen für Bastelarbeiten.,24614800
{{7022 0 0.mp3}},"examination, test",معاینه، آزمون,امتحان,the exam,die Prüfung,Prüfung,55,noun,{{7022 7 0.jpg}},die Prüfungen,Mindestens die Hälfte der Teilnehmer hat die Prüfung nicht bestanden.,24269839
{{7023 0 0.mp3}},to receive,برای دریافت,دریافت کردن، گرفتن، مشمول چیزی شدن / حفظ کردن، نگه داشتن، (sich erhalten),,erhalten,,15,verb,{{7023 7 0.jpg}},erhält; erhielt; hat erhalten,Den Brief habe ich am Mittwoch erhalten.,23720148
{{7024 0 0.mp3}},"to forbid, prohibit",ممنوع، منع,منع کردن، قدغن کردن، ممنوع کردن,forbid,verbieten,,77,verb,{{7024 7 0.jpg}},verbietet; verbot; hat verboten,Die Lehrerin verbietet ihren Schülern zu reden.,24506452
{{7025 0 0.mp3}},interpretation,تفسیر,تفسیر، شرح / اجرا (موسیقی),,die Interpretation,,115,noun,{{7025 7 0.jpg}},die Interpretationen,Das ist alles eine Frage der Interpretation.,24581685
{{7026 0 0.mp3}},protein,پروتئين,,,das Protein,,115,noun,{{7026 7 0.jpg}},die Proteine,"Zehn Prozent des Eiklars sind Proteine, der Rest ist Wasser.",24583609
{{7027 0 0.mp3}},"kindergarten, nursery school",مهد کودک، مهد کودک,مهد کودک,,der Kindergarten,,109,noun,{{7027 7 0.jpg}},die Kindergärten,Lucy geht schon in den Kindergarten.,24566148
{{7028 0 0.mp3}},"to call, name",به تماس، نام,نامیدن، خواندن,denote,bezeichnen,,25,verb,{{7028 7 0.jpg}},bezeichnet; bezeichnete; hat bezeichnet,Wie bezeichnet man den östlichen Teil einer Kirche?,23913994
{{7029 0 0.mp3}},physical,فیزیکی,بدنی، جسمانی، جسمی,,physisch,,141,adj,{{7029 7 0.jpg}},,Meine physische Verfassung ist zur Zeit nicht die stabilste.,24614030
{{7030 0 0.mp3}},"among (our-)selves, each other",در میان خودشان (our-)، هر یک از دیگر,زیر یک‌دیگر,,untereinander,,133,adv,{{7030 7 0.jpg}},,Die Geschwister verstehen sich gut untereinander.,24609077
{{7031 0 0.mp3}},presence,حضور,حضور,,die Anwesenheit,,155,noun,{{7031 7 0.jpg}},no plural,Mary wird uns am Sonntag mit ihrer Anwesenheit beglücken.,24620994
{{7032 0 0.mp3}},to be worth it,به ارزش آن,,be worthwhile,sich lohnen,,100,verb,{{7032 7 0.jpg}},lohnt sich; lohnte sich; hat sich gelohnt,"Es lohnt sich, diesen Film zu sehen.",24548079
{{7033 0 0.mp3}},your,خود را,مال تو، [صفت ملکی دوم شخص مفرد],,dein,,12,pron,{{7033 7 0.jpg}},,Dein Handy klingelt.,23642106
{{7034 0 0.mp3}},"saying, slogan",گفت: شعار,مثل، شعار، کلمات قصار / حکم، رای,,der Spruch,,168,noun,{{7034 7 0.jpg}},die Sprüche,Die Wände waren mit Sprüchen beschmiert.,24624499
{{7035 0 0.mp3}},"to lie ahead, be imminent",به پیش رو، از قریب الوقوع می باشد,پیش رو بودن، نزدیک بودن,,bevorstehen,,120,verb,{{7035 7 0.jpg}},steht bevor; stand bevor; hat bevorgestanden,Uns stehen schwere Zeiten bevor.,24587885
{{7036 0 0.mp3}},European,اروپایی,اروپایی، وابسته به اروپا,,europäisch,,21,adj,{{7036 7 0.jpg}},,Die gemeinsame europäische Währung ist der Euro.,23864143
{{7037 0 0.mp3}},organization,سازمان,سازماندهی، برپایی، برگزاری / سازمان,,die Organisation,,39,noun,{{7037 7 0.jpg}},die Organisationen,Die Organisation der Olympischen Spiele dauerte länger als gedacht.,24221610
{{7038 0 0.mp3}},Russian,روسی,روس، اهل روسیه,,der Russe,,90,noun,{{7038 7 0.jpg}},die Russen,Puschkin war Russe.,24541548
{{7039 0 0.mp3}},to influence,تاثیر گذاشتن,تاثیر گذاشتن، نفوذ داشتن,influence,beeinflussen,,51,verb,{{7039 7 0.jpg}},beeinflusst; beeinflusste; hat beeinflusst,Die Motivation beeinflusst den Erfolg.,24264579
{{7040 0 0.mp3}},talent,استعداد,استعداد,,das Talent,,154,noun,{{7040 7 0.jpg}},die Talente,Tina hat großes musikalisches Talent.,24620719
{{7041 0 0.mp3}},"almost, nearly",تقریبا نزدیک است,تقریبا، نزدیک بود,,nahezu,,90,adv,{{7041 7 0.jpg}},,Sie hat nahezu ihr ganzes Geld verspielt.,24541333
{{7042 0 0.mp3}},"to follow, succeed",به دنبال، موفق,,,nachfolgen,,128,verb,{{7042 7 0.jpg}},folgt nach; folgte nach; ist nachgefolgt,Wer wird Gerhard Schröder im Amt des Bundeskanzlers nachfolgen?,24605792
{{7043 0 0.mp3}},"reproach, accusation",سرزنش، تهمت,سرزنش، ملامت,the reproach,der Vorwurf,Vorwurf,75,noun,{{7043 7 0.jpg}},die Vorwürfe,Herr Faber macht seinen Mitarbeitern ständig Vorwürfe wegen der Verzögerung des Projekts.,24505790
{{7044 0 0.mp3}},"to form, educate",به فرم، آموزش,ساختن، شکل دادن,form,bilden,,19,verb,{{7044 7 0.jpg}},bildet; bildete; hat gebildet,Den Höhepunkt des Festes bildet das abendliche Feuerwerk.,23863046
{{7045 0 0.mp3}},to see,دیدن,دیدن، نگاه کردن / قضاوت کردن، دیدن / مراقبت کردن,see,sehen,,5,verb,{{7045 7 0.jpg}},sieht; sah; hat gesehen,Rainer sieht ohne Brille nichts.,23501811
{{7046 0 0.mp3}},blood,خون,خون,,das Blut,,67,noun,{{7046 7 0.jpg}},no plural,Blut ist rot.,24474009
{{7047 0 0.mp3}},in the hand,در دست,,,in der Hand,,10,,{{7047 7 0.jpg}},,Plötzlich hatte der Einbrecher die Türklinke in der Hand.,23633880
{{7048 0 0.mp3}},efficient,کارآمد,کارآمد,,effizient,,145,adj,{{7048 7 0.jpg}},,"Effizientes, schnelles Arbeiten ist wichtig.",24616342
{{7049 0 0.mp3}},countless,بی شمار,بی‌شمار,,unzählig,,125,adj,{{7049 7 0.jpg}},,Nach unzähligen Versuchen erreichte er Miriam am Telefon.,24603875
{{7050 0 0.mp3}},whether,چه,... یا نه. / اگر، در صورتی که,,ob,,7,conj,{{7050 7 0.jpg}},,"Er weiß nicht, ob es möglich sein wird.",23505319
{{7051 0 0.mp3}},"to restrict, damage",برای محدود کردن، آسیب,آسیب‌زدن، تاثیر منفی گذاشتن,,beeinträchtigen,,144,verb,{{7051 7 0.jpg}},beeinträchtigt; beeinträchtigt; hat beeinträchtigt,Rauchen beeinträchtigt die Gesundheit.,24616001
{{7052 0 0.mp3}},"to take away, remove",را به دور، حذف,گرفتن، بازگرفتن، ضبط کردن,,entziehen,,103,verb,{{7052 7 0.jpg}},entzieht; entzog; hat entzogen,Dieses Getreide entzieht dem Boden viele Nährstoffe.,24552892
{{7053 0 0.mp3}},"fan, supporter",فن، حامی,طرفدار,the fan,der Fan,Fan,106,noun,{{7053 7 0.jpg}},die Fans,Alex ist Fan von Bayern München.,24553377
{{7054 0 0.mp3}},"concept, idea, term",مفهوم، ایده، مدت,واژه، عبارت,,der Begriff,,22,noun,{{7054 7 0.jpg}},die Begriffe,Freiheit ist ein komplizierter Begriff.,23883974
{{7055 0 0.mp3}},"earlier, beforehand",قبل از آن، از قبل,قبلا / قبل از آن، قبلش، پیش از آن,,vorher,,29,adv,{{7055 7 0.jpg}},,Vorher lese ich noch den Artikel zu Ende.,24020467
{{7056 0 0.mp3}},to touch,به لمس,لمس کردن، دست زدن,touch,berühren,,96,verb,{{7056 7 0.jpg}},berührt; berührte; hat berührt,Ich habe sie mit der Hand an der Wange berührt.,24546431
{{7057 0 0.mp3}},with each other,با همدیگر,با هم، با همدیگر,,miteinander,,38,adv,{{7057 7 0.jpg}},,Die Kinder spielen miteinander im Sandkasten.,24220877
{{7058 0 0.mp3}},continuing education,آموزش مداوم,تحصیلات عالی، ادامه تحصیل,,die Weiterbildung,,160,noun,{{7058 7 0.jpg}},die Weiterbildungen,Die Firmenleitung schickt ihre Mitarbeiter regelmäßig auf Weiterbildungen.,24622586
{{7059 0 0.mp3}},"rid of, going on",خلاص شدن از شر، رفتن به,در جریان، در حال رخ دادن / راه بیفتید!، حرکت!,,los,,60,adv,{{7059 7 0.jpg}},,Was ist denn hier los?,24280410
{{7060 0 0.mp3}},"faith, belief",ایمان، اعتقاد,,,"der Glaube, der Glauben",,91,noun,{{7060 7 0.jpg}},die Glauben,Der christliche Glauben ist 2000 Jahre alt.,24541969
{{7061 0 0.mp3}},"scholar, scientist",محقق، دانشمند,دانشمند، پژوهشگر,,der Wissenschaftler,Wissenschaftler,75,noun,{{7061 7 0.jpg}},die Wissenschaftler,Wissenschaftler aus verschiedenen Fachrichtungen nehmen an der Tagung teil.,24505806
{{7062 0 0.mp3}},the...the,... در,,,je...desto,,16,,{{7062 7 0.jpg}},,"Je mehr Leute mitfahren, desto billiger wird die Fahrt.",23721109
{{7063 0 0.mp3}},chapter,فصل,بخش، فصل، قسمت,,das Kapitel,,43,noun,{{7063 7 0.jpg}},die Kapitel,Das vierte Kapitel des Buches ist besonders spannend.,24234952
{{7064 0 0.mp3}},somewhere,یک جایی,جایی، یک جایی,,irgendwo,,32,adv,{{7064 7 0.jpg}},,Irgendwo habe ich den Schlüssel hingelegt.,24129819
{{7065 0 0.mp3}},artist,هنرمند,هنرمند,the artist,der Künstler,Künstler,41,noun,{{7065 7 0.jpg}},die Künstler,Der Künstler selbst eröffnet die Ausstellung.,24223046
{{7066 0 0.mp3}},"crooked, not straight",کج، نمی مستقیم,کج، مایل، غیر صاف,,schief,,125,adj,{{7066 7 0.jpg}},,Hast du den schiefen Turm von Pisa schon mal in echt gesehen?,24603637
{{7067 0 0.mp3}},"sound, noise",صدا، سر و صدا,صدا، سروصدا,,das Geräusch,,115,noun,{{7067 7 0.jpg}},die Geräusche,Was ist das für ein Geräusch?,24581411
{{7068 0 0.mp3}},atom,اتم,اتم,,das Atom,,149,noun,{{7068 7 0.jpg}},die Atome,Moleküle sind Verbindungen aus Atomen.,24619662
{{7069 0 0.mp3}},"something, anything",چیزی، هر چیزی,چیزی,,irgendwas,irgendetwas,37,pron,{{7069 7 0.jpg}},,Irgendwas hier riecht verbrannt.,24220151
{{7070 0 0.mp3}},to unite,برای متحد,یکپارچه کردن، متحد کردن,,vereinigen,,92,verb,{{7070 7 0.jpg}},vereinigt; vereinigte; hat vereinigt,Deutschland ist seit 1990 wieder vereinigt.,24542679
{{7071 0 0.mp3}},sister,خواهر,خواهر,,die Schwester,,37,noun,{{7071 7 0.jpg}},die Schwestern,Ich habe zwei ältere Schwestern.,24217601
{{7072 0 0.mp3}},"to choose, select",را انتخاب کنید، انتخاب,انتخاب کردن، برگزیدن,choose,auswählen,,82,verb,{{7072 7 0.jpg}},wählt aus; wählte aus; hat ausgewählt,Die Kommission wählt nur einen Kandidaten aus.,24518815
{{7073 0 0.mp3}},"1) during; 2) while, whereas",1) در طول؛ 2) در حالی که، در حالی که,در طول / وقتی که، زمانی که,,während,,8,1) prep; 2) conj,{{7073 7 0.jpg}},,"1) Während der Ferien war ich krank. 2) Während du liest, esse ich.",23629364
{{7074 0 0.mp3}},"application, proposal",نرم افزار، پیشنهاد,درخواست، فرم درخواست,,der Antrag,,50,noun,{{7074 7 0.jpg}},die Anträge,Sie müssen diesen Antrag ausfüllen.,24263975
{{7075 0 0.mp3}},production,تولید,تولید، ساخت,the production,die Herstellung,Herstellung,123,noun,{{7075 7 0.jpg}},die Herstellungen,Die Herstellung von Lebensmitteln wird streng überwacht.,24603013
{{7076 0 0.mp3}},"to excite, upset, annoy",برای تحریک، ناراحت، آزار,ناراحت کردن، آزار دادن، رنجاندن / ناراحت شدن، رنجیدن، (sich aufregen),,aufregen,,103,verb,{{7076 7 0.jpg}},regt auf; regte auf; hat aufgeregt,Du brauchst dich nicht so aufzuregen.,24552589
{{7077 0 0.mp3}},flower,گل,گل,the flower,die Blume,Blume,97,noun,{{7077 7 0.jpg}},die Blumen,Die Dolmetscherin bekam einen Strauß Blumen.,24546467
{{7078 0 0.mp3}},"to sense, notice",به حس، اطلاع,حس کردن,sense,spüren,,34,verb,{{7078 7 0.jpg}},spürt; spürte; hat gespürt,Pferde spüren ein nahendes Erdbeben.,24215108
{{7079 0 0.mp3}},accessible,در دسترس,قابل دسترسی، قابل رسیدن / در دسترس / خوش برخورد، خوش‌رو، گرم و صمیمی,,zugänglich,,116,adj,{{7079 7 0.jpg}},,Diese Akten sind nur Wissenschaftlern zugänglich.,24584406
{{7080 0 0.mp3}},(lasting) for years,(به مدت) برای سال,سالها، برای چند سال,,jahrelang,,124,adj,{{7080 7 0.jpg}},,In der Wüste wartet man oft jahrelang auf Regen.,24603026
{{7081 0 0.mp3}},ever,همیشه,تا به حال، هیچ وقت,,jemals,,124,adv,{{7081 7 0.jpg}},,Warst du jemals im Ausland?,24603056
{{7082 0 0.mp3}},"to move, transfer",به حرکت، انتقال,قرار دادن,,versetzen,,105,verb,{{7082 7 0.jpg}},versetzt; versetzte; hat versetzt,Sie werden in eine andere Abteilung versetzt.,24553177
{{7083 0 0.mp3}},to switch off,به خاموش کردن,خاموش کردن، قطع کردن,,abschalten,,161,verb,{{7083 7 0.jpg}},schaltet ab; schaltete ab; hat abgeschaltet,"Schalte den Computer bitte nicht ab, ich muss noch etwas schreiben.",24622727
{{7084 0 0.mp3}},"to identify, expel",برای شناسایی، اخراج,دیپورت کردن، اخراج کردن / نشان دادن / کارت شناسایی ارائه دادن، (sich ausweisen),,ausweisen,,103,verb,{{7084 7 0.jpg}},weist aus; wies aus; hat ausgewiesen,Kriminelle Ausländer werden ausgewiesen.,24552770
{{7085 0 0.mp3}},lower,پایین تر,زیر، پایین / زیری، پایینی,,unter,"unterer, untere, unteres",88,adj,{{7085 7 0.jpg}},,"Die untere Etage bewohnen meine Schwiegereltern, die obere wir.",24519636
{{7086 0 0.mp3}},"to excuse, apologise",به بهانه ای، عذرخواهی می کنیم,بخشیدن / معذرت‌خواهی کردن، عذر خواستن، (sich entschuldigen),apologise,entschuldigen,,87,verb,{{7086 7 0.jpg}},entschuldigt; entschuldigte; hat entschuldigt,Entschuldigen Sie bitte meine Verspätung!,24519479
{{7087 0 0.mp3}},entirely,کاملا,کامل، مطلق، تمام‌عیار,,gänzlich,,157,adj,{{7087 7 0.jpg}},,Der Vater hatte zwei gänzlich verschiedene Füße.,24621937
{{7088 0 0.mp3}},therapist,درمانشناس,درمان‌گر,,der Therapeut,,164,noun,{{7088 7 0.jpg}},die Therapeuten,"Es ist wichtig, den richtigen Therapeuten zu finden.",24623510
{{7089 0 0.mp3}},"to grab, seize",برای گرفتن، به دست گرفتن,گرفتن، دستگیر کردن / فراگرفتن، چیره شدن,seize,ergreifen,,97,verb,{{7089 7 0.jpg}},ergreift; ergriff; hat ergriffen,Ich möchte die Gelegenheit ergreifen und mich ganz herzlich bei Ihnen bedanken.,24546589
{{7090 0 0.mp3}},"at the, on the",در، در,,,am,,1,prep,{{7090 7 0.jpg}},,Wir treffen uns am Bahnhof.,23498808
{{7091 0 0.mp3}},never,هرگز,هرگز، هیچ‌وقت,,niemals,,66,adv,{{7091 7 0.jpg}},,Das habe ich niemals gesagt!,24472388
{{7092 0 0.mp3}},to help,برای کمک به,کمک کردن,,helfen,,20,verb,{{7092 7 0.jpg}},hilft; half; hat geholfen,Kinder sollten im Haushalt helfen.,23863914
{{7093 0 0.mp3}},to amount to,به مقدار,بودن، (مقدار مشخصی) بودن,,betragen,,46,verb,{{7093 7 0.jpg}},beträgt; betrug; hat betragen,Der Zuschuss beträgt etwa 30 Euro.,24236453
{{7094 0 0.mp3}},"still, furthermore",هنوز هم، علاوه بر,همچنان، کماکان,,weiterhin,,43,adv,{{7094 7 0.jpg}},,Georg arbeitet auch weiterhin in unserer Firma.,24234993
{{7095 0 0.mp3}},plot of land,قطعه زمین,تکه زمین، قطعه زمین,,das Grundstück,,93,noun,{{7095 7 0.jpg}},die Grundstücke,Familie Buchwald hat ein eigenes Grundstück mit Garten.,24544135
{{7096 0 0.mp3}},present,حاضر,کنونی، فعلی، حاضر,,gegenwärtig,,66,adj,{{7096 7 0.jpg}},,Die gegenwärtige Situation ist nicht zufriedenstellend.,24472305
{{7097 0 0.mp3}},plate,صفحه,بشقاب,the plate,der Teller,Teller,133,noun,{{7097 7 0.jpg}},die Teller,Helge lädt sich drei Stück Kuchen auf seinen Teller.,24609054
{{7098 0 0.mp3}},drawing,رسم,نقاشی,,die Zeichnung,,143,noun,{{7098 7 0.jpg}},die Zeichnungen,Sie hat viele Zeichnungen aus ihrer Kindheit.,24614595
{{7099 0 0.mp3}},"to remove, take out",به حذف، را از,بیرون بردن، بیرون آوردن / دور کردن، خارج کردن / کشیدن، بیرون کشیدن,remove,herausnehmen,,157,verb,{{7099 7 0.jpg}},nimmt heraus; nahm heraus; hat herausgenommen,Er nahm die Kette aus der Schachtel heraus.,24622041
{{7100 0 0.mp3}},complex,پیچیده,مجموعه، گروه / عقده (روان‌شناسی) / پیچیده، دشوار,,komplex,,56,adj,{{7100 7 0.jpg}},,Das Aufgabenfeld ist sehr komplex.,24278898
{{7101 0 0.mp3}},shirt,پیراهن,پیراهن، لباس مردانه,the shirt,das Hemd,Hemd,109,noun,{{7101 7 0.jpg}},die Hemden,Er trägt ein buntes Hemd.,24566057
{{7102 0 0.mp3}},"to suggest, indicate",نشان می دهد، نشان می دهد,نشان دادن، مشخص کردن,,andeuten,,117,verb,{{7102 7 0.jpg}},deutet an; deutete an; hat angedeutet,"Wie der Name schon andeutet, findet der Musiksommer im Sommer statt.",24584506
{{7103 0 0.mp3}},neck,گردن,پشت گردن، پس گردن,,der Nacken,,153,noun,{{7103 7 0.jpg}},die Nacken,Sie schlingt die Arme um meinen Nacken.,24620457
{{7104 0 0.mp3}},"earth, ground, soil",زمین، زمین، خاک,زمین / خاک,the earth,die Erde,Erde,37,noun,{{7104 7 0.jpg}},die Erden,Die Erde bewegt sich um die Sonne.,24218725
{{7105 0 0.mp3}},February,فوریه,فوریه، ماه دوم میلادی,,der Februar,,88,noun,{{7105 7 0.jpg}},die Februare,Im Februar blühen die ersten Blumen.,24519991
{{7106 0 0.mp3}},salt,نمک,نمک,the salt,das Salz,Salz,105,noun,{{7106 7 0.jpg}},die Salze,An der Suppe fehlt Salz.,24553156
{{7107 0 0.mp3}},apart,جدا از هم,جدا، جدا از هم، با فاصله از هم,,auseinander,,62,adv,{{7107 7 0.jpg}},,Ich kann Christianes vier Kinder nicht auseinander halten.,24382884
{{7108 0 0.mp3}},in time,به موقع,زمانی، از نظر) زمان),,zeitlich,,66,adj,{{7108 7 0.jpg}},,"Glaubst du, dass du es zeitlich schaffen wirst?",24472464
{{7109 0 0.mp3}},staff,کارکنان,پرنسل، نیروی کار,,das Personal,,98,noun,{{7109 7 0.jpg}},no plural,Ab nächsten Monat können wir neues Personal einstellen.,24546883
{{7110 0 0.mp3}},critic,منتقد,منتقد، ناقد,,der Kritiker,,124,noun,{{7110 7 0.jpg}},die Kritiker,Die Kritiker haben das Stück sehr gelobt.,24603166
{{7111 0 0.mp3}},to surprise,متعجب ساختن,غافلگیر کردن، متعجب کردن، سورپرایز کردن,surprise,überraschen,,43,verb,{{7111 7 0.jpg}},überrascht; überraschte; hat überrascht,Er überraschte seine Frau mit einem Opernbesuch.,24235079
{{7112 0 0.mp3}},chancellor,صدر اعظم,صدر اعظم,the chancellor,der Kanzler,Kanzler,81,noun,{{7112 7 0.jpg}},die Kanzler,Der Kanzler hält eine Rede zur Lage der Nation.,24518525
{{7113 0 0.mp3}},sister,خواهر,خواهر,,die Schwester,,37,noun,{{7113 7 0.jpg}},die Schwestern,Ich habe zwei ältere Schwestern.,24217601
{{7114 0 0.mp3}},to establish,بنیانگذاری,تاسیس کردن، بنا نهادن / ساکن شدن، مقیم شدن، (sich etablieren),,etablieren,,118,verb,{{7114 7 0.jpg}},etabliert; etablierte; hat etabliert,Das Produkt hat sich am Markt etabliert.,24585687
{{7115 0 0.mp3}},"to creep, prowl, sneak",به خزش، پرسه زدن، دزدکی حرکت کردن,بی سرو صدا رفتن، دزدکی رفتن,,schleichen,,168,verb,{{7115 7 0.jpg}},schleicht; schlich; ist geschlichen,Leise schleichen die Kinder aus dem Bett und zum Kühlschrank.,24624443
{{7116 0 0.mp3}},"great, terrific",بزرگ، فوق العاده,عالی، فوق‌العاده، خیلی خوب,,toll,,45,adj,{{7116 7 0.jpg}},,Das Essen schmeckt toll.,24235887
{{7117 0 0.mp3}},"ministry, department",وزارت، ریاست,وزارت، وزارت‌خانه,,das Ministerium,,158,noun,{{7117 7 0.jpg}},die Ministerien,Sie arbeitet am Ministerium für Finanzen.,24622158
{{7118 0 0.mp3}},seminar,سمینار,سمینار,,das Seminar,,92,noun,{{7118 7 0.jpg}},die Seminare,Das Seminar endet um 14 Uhr.,24542524
{{7119 0 0.mp3}},enough,کافی,کافی، به اندازه کافی,,genug,,24,adv,{{7119 7 0.jpg}},,Ich habe nicht genug Geld.,23885552
{{7120 0 0.mp3}},for a long time,برای یک مدت طولانی,,,"lange, lang",,5,adv,{{7120 7 0.jpg}},,Jakob hat lange auf Rahel gewartet.,23502710
{{7121 0 0.mp3}},problem,مسئله,طرح سوال,,die Fragestellung,,114,noun,{{7121 7 0.jpg}},die Fragestellungen,Das ist eine sehr komplexe Fragestellung.,24579911
{{7122 0 0.mp3}},"still, yet",هنوز هم، هنوز,هنوز / دیگر، هم / حتی، هم,,noch,,2,adv,{{7122 7 0.jpg}},,Habt ihr noch Fragen?,23500053
{{7123 0 0.mp3}},institute,موسسه,بنیاد، موسسه، انستیتو,,das Institut,,37,noun,{{7123 7 0.jpg}},die Institute,Am Institut für Linguistik lehrt ein Gastprofessor aus den USA.,24217512
{{7124 0 0.mp3}},"stand, stage",ایستاده، مرحله,وضعیت، حالت / دکه، غرفه,,der Stand,,60,noun,{{7124 7 0.jpg}},die Stände,Sie war auf dem neuesten Stand der Entwicklungen.,24280717
{{7125 0 0.mp3}},"climb, rise",صعود، افزایش,ارتقا، رشد,,der Aufstieg,,149,noun,{{7125 7 0.jpg}},die Aufstiege,Der Aufstieg zur Burg ist sehr steil.,24619694
{{7126 0 0.mp3}},wild,وحشی,وحشی / متلاطم، بدون کنترل، شدید,,wild,,75,adj,{{7126 7 0.jpg}},,Bären und Füchse sind wilde Tiere.,24505800
{{7127 0 0.mp3}},"to extend, include",به گسترش، شامل,,,sich erstrecken,,139,verb,{{7127 7 0.jpg}},erstreckt sich; erstreckte sich; hat sich erstreckt,Russland erstreckt sich über elf Zeitzonen.,24613526
{{7128 0 0.mp3}},president,رئيس جمهور,رئیس جمهور / مدیر عامل، رئیس,the president,der Präsident,,25,noun,{{7128 7 0.jpg}},die Präsidenten,Der Präsident des Bundestags mahnte zur Ruhe.,23913890
{{7129 0 0.mp3}},"to report, sue, indicate",به گزارش، شکایت، نشان می دهد,[به پلیس] اطلاع دادن، به پلیس یا مسئولین گزارش کردن,report,anzeigen,,82,verb,{{7129 7 0.jpg}},zeigt an; zeigte an; hat angezeigt,Ich habe den Einbrecher angezeigt.,24518802
{{7130 0 0.mp3}},climate,اقلیم,آب و هوا، شرایط اقلیمی / جو، شرایط,,das Klima,,109,noun,{{7130 7 0.jpg}},"die Klimas, Klimate",In Utah herrscht kontinentales Klima.,24566175
{{7131 0 0.mp3}},knee,زانو,زانو,the knee,das Knie,Knie,86,noun,{{7131 7 0.jpg}},die Knie,Viele Fußballer und Skifahrer haben Probleme mit den Knien.,24519395
{{7132 0 0.mp3}},change,تغییر دادن,تحول، تغییر,the turnabout,die Wende,Wende,116,noun,{{7132 7 0.jpg}},die Wenden,Nach der Wende kauften sie ihr altes Haus zurück.,24584307
{{7133 0 0.mp3}},"inquiry, request",پرس و جو، درخواست,درخواست، پرسش,,die Anfrage,,133,noun,{{7133 7 0.jpg}},die Anfragen,Wir senden Ihnen auf Anfrage gern eine Broschüre zu.,24609466
{{7134 0 0.mp3}},Bern,برن,,,Berner,,123,adj,{{7134 7 0.jpg}},,Der Berner Bachchor führt das Weihnachtsoratorium auf.,24602603
{{7135 0 0.mp3}},service,سرویس,خدمات,,die Dienstleistung,,101,noun,{{7135 7 0.jpg}},die Dienstleistungen,Die kostenlose Lieferung nach Hause ist eine Dienstleistung des Unternehmens.,24551880
{{7136 0 0.mp3}},to swing,به نوسان,لرزیدن، موج خوردن,swing,schwingen,,132,verb,{{7136 7 0.jpg}},schwingt; schwang; hat geschwungen,Heute schwingt der Opa den Kochlöffel.,24608997
{{7137 0 0.mp3}},symptom,نشانه,نشانه بیماری، سمپتوم,,das Symptom,,125,noun,{{7137 7 0.jpg}},die Symptome,"Wenn die Ursachen nicht bekannt sind, werden nur die Symptome behandelt.",24603697
